home|Главная
aboutCompanyDesc5|В нашей команде собрались специалисты в области разработки и проектирования информационных систем с многолетним опытом.
aboutCompanyDesc6|С нашими разработками можно ознакомиться в разделе
aboutCompanyDesc6.2|"Продукты".
aboutCompanyDesc7|ПК "Прокуратор"
aboutCompanyDesc8|ПК "Сфера"
aboutCompanyDesc9|VDI
aboutCompanyTechStackHeader|Технологический Стек и Компетенции
aboutCompanyTechStack|Мы уделяем большое внимание выбору и применению современных технологий, чтобы обеспечивать выдающееся качество наших продуктов. Ниже представлен наш технологический стек и области, в которых у нас высокие компетенции:
aboutCompanyTechStack2|HTML, CSS3 и JavaScript (JS): Мы создаем креативные и интерактивные веб-приложения с использованием HTML, CSS3 и JavaScript. Наши дизайнеры и разработчики работают в тесном сотрудничестве, чтобы обеспечивать красивый и интуитивно понятный пользовательский интерфейс.
aboutCompanyTechStack3|Golang: Наша команда разработчиков имеет значительный опыт в использовании Go для создания высокопроизводительных и масштабируемых серверных приложений. Это позволяет нам обеспечивать отличную производительность и надежность.
aboutCompanyTechStack4|C/C++: Мы обладаем глубокими знаниями в области C/C++, и эти языки являются основой для разработки системного программного обеспечения и решений с повышенными требованиями к производительности.
aboutCompanyTechStack5|Python: Python используется нами для разработки скриптов, автоматизации задач и разработки приложений с использованием фреймворков, таких как Django и Flask.
aboutCompanyTechStack6|Tailwind CSS: Мы активно применяем Tailwind CSS для быстрой и гибкой разработки пользовательского интерфейса. Этот фреймворк позволяет нам создавать креативные дизайны с минимумом усилий.
aboutCompanyTechStack7|Nuxt и Vue.js: Мы разрабатываем современные веб-приложения с использованием Nuxt.js и Vue.js. Эти фреймворки позволяют нам создавать быстродействующие приложения с удобным управлением состоянием.
aboutCompanyTechStack8|gRPC и Protobuf: Мы используем gRPC и Protobuf для создания эффективных и надежных API-интерфейсов между нашими микросервисами. Эти технологии позволяют нам легко обмениваться данными между компонентами наших приложений.
aboutCompanyTechStack9|Linux: Мы разрабатываем и развертываем наши приложения на платформе Linux, что обеспечивает стабильность и высокую производительность наших сервисов.
aboutCompanyTechStack10|Docker: Мы используем Docker для контейнеризации наших приложений, что упрощает развертывание и управление нашими микросервисами, а также обеспечивает масштабируемость и изоляцию.
aboutCompanyTechStackEnd|Это лишь малая часть технологий, которые мы используем в нашей работе. Наша команда также активно изучает и внедряет новые инструменты и методологии, чтобы всегда оставаться на передовых позициях в мире разработки. Наш опыт и компетенции делают нас надежным партнером для ваших технологических проектов.
ourValuesPrinciplesDesc|Компания кроме собственных решений осуществляет поддержку, внедрение и сопровождение отечественного ПО виртуализациии и систем хранения данных из реестра отечественного ПО:
iNN|ИНН
cPP|КПП
activeClients|КЛИЕНТЫ
productsDone|ПРОЕКТЫ
teamAdvisors|КОМАНДА
gloriousYears|ГОДЫ
about|О
aboutPageAboutTitle|Преобразуйте Свой Бизнес Вместе С Ведущим поставщиком ИТ-Решений.
aboutPageAboutDesc|Мы слушаем. Мы советуем. Мы проектируем вместе. Счастливые клиенты - вот к чему мы стремимся. Успех измеряется результатами, наиболее важным из которых является то, как наши клиенты относятся к своему опыту работы с нами.
appDevelopment|Разработка приложений
oURProcess|НАШ ПРОЦЕСС
oURProcessTitle|Достижения результатов для клиентов с использованием
oURProcessTitle2|инновационных технологий
oURProcessItem1Title|Гарантированные комплексные решения и услуги
oURProcessItem1Desc|Разработка продуктов АО "БФГ" полностью контролируется нашей командой, в связи с чем мы предоставляем полную поддержку и гарантии нашим клиентам.
oURProcessItem2Title|Обеспечение безопасности вашей IT-инфраструктуры
oURProcessItem2Desc|Наша цель - обеспечить безопасность вашей IT-инфраструктуры, минимизировать риски и защитить ваши данные и ресурсы от потенциальных угроз.
oURProcessItem3Title|Уверенность в успешном функционировании вашего бизнес-проекта
oURProcessItem3Desc|Создание благоприятных условий для успешного функционирования вашей инфраструктуры, обеспечение надежности, эффективности и уверенности в достижении поставленных целей - наша основная задача.	
readMore|подробнее
latestCaseStudies|ПОСЛЕДНИЕ ТЕМАТИЧЕСКИЕ ИССЛЕДОВАНИЯ
productsPageTitle|Читайте сейчас наши недавние
productsPageTitle2|Продукты
getInTouch|связаться
contactUsPageTitle|Ежемесячная плата за проект
contactUsPageTitle2|Ценовые планы
contactUsPageDesc|По общим вопросам вы можете обратиться к нашей службе поддержки на стойке регистрации
at|около
orCallOn|или позвоните
contactUsPageDesc3|Мы находимся в 36 местах по стране,
contactUsPageDesc4|посмотрите наши филиалы.
iTSolutions|IT-решения
projectInfo|Информация о проекте
oС42Desc|Это гипервизор 1 типа, который представляет собой гипервизорную операционную систему, обеспечивающую надежную виртуализацию серверов.
client|Клиент
category|Категория
date|Дата
website|Веб-сайт
location|Расположение
businessCampaign|Бизнес, Кампания
newYork|Нью-Йорк
oС42Date|6 20 июня
oС42Client|Джон Аманда
innovativeInterfaces|Инновационные интерфейсы
FIPSRegistration|Регистрация в ФИПС
procuratorProductName|«Программный комплекс «Прокуратор»
procuratorFIPSRegistrationDate|Дата регистрации: 13.10.2023
procuratorFIPSRegistrationNumber|Номер регистрации (свидетельства): 2023681429
procuratorReferat|Программный комплекс «Прокуратор» является платформой для управления гипервизором. Поддерживает развертывание виртуальных машин с гостевыми ОС семейства Windows и Linux, подключение хранилищ и создание виртуальных сетей. Тип ЭВМ: х86_64 с поддержкой INTEL-VT или AMD-V; ОС: LINUX версии не ниже 5.х.х
sphereProductName|«Программный комплекс «Сфера»
sphereFIPSRegistrationDate|Дата регистрации: 13.10.2023
sphereFIPSRegistrationNumber|Номер регистрации (свидетельства): 2023681428
sphereReferat|Программный комплекс «Сфера» предназначен для создания платформы централизованного (через единую консоль) управления виртуальной инфраструктурой. С помощью ПК «Сфера» осуществляется управление жизненным циклом всех виртуальных машин, мониторинг их состояния, отслеживание возникающих ошибок, масштабирование виртуальной инфраструктуры, контроль всех хостов и кластеров, управление режимом высокой доступности и отказоустойчивости, создание программно- определяемых распределённых систем хранения. Тип ЭВМ: х86_64 с поддержкой INTEL-VT или AMD-V; ОС: ОС с ядром LINUX версии не ниже 5.х.х.
teleportProductName|«Программный комплекс «Телепорт»
teleportFIPSRegistrationDate|Дата регистрации: 10.10.2023
teleportFIPSRegistrationNumber|Номер регистрации (свидетельства): 2023681064
teleportReferat|Программный комплекс предназначен для создания инфраструктуры виртуальных рабочих столов (VDI) и реализует возможности управления всеми виртуальными рабочими станциями с централизованной консоли, поддержку работы с несколькими мониторами, воспроизведение видео и видеоконференцсвязи, подключение к периферийным устройствам, а также обеспечивает легкое масштабирование для поддержки растущего числа виртуальных компьютеров и балансировку вычислительных ресурсов для наибольшей производительности всей виртуальной инфраструктуры. Тип ЭВМ: х86_64 с поддержкой INTEL-VT или AMD-V; ОС: с ядром Linux версии не ниже 5.х.х.
oС42InnovativeInterfaces|Lorem Ipsum — это просто текст-пустышка полиграфической и наборной индустрии. Lorem Ipsum был стандартным текстом-пустышкой в отрасли с 1500-х годов, когда неизвестный типограф взял гранку шрифтов и переделал ее, чтобы сделать книгу образцов шрифтов. Он пережил не только пять столетий, но и скачок в электронную верстку, оставшись по существу неизменным. Он пережил не только пять столетий, но и скачок в электронную верстку, оставшись по существу неизменным. оставаясь по существу неизменными.
youMayAlsoKnowHowItUses|Вы также можете знать, как он используется в сфере ИТ?
oС42YouMayAlsoKnowHowItUses|Lorem Ipsum — это просто текст-пустышка полиграфической и наборной индустрии. Lorem Ipsum был стандартным текстом-пустышкой в отрасли с 1500-х годов, когда неизвестный типограф взял гранку шрифтов и переделал ее, чтобы сделать книгу образцов шрифтов. Он пережил не только пять столетий, но и скачок в электронную верстку, оставшись по существу неизменным. Он пережил не только пять столетий, но и скачок в электронную верстку, оставшись по существу неизменным. оставаясь по существу неизменными.
projectResultBenefitsProject|Результат проекта и преимущества проекта
oС42ProjectResultBenefitsProject|Давно установленный факт, что читатель будет отвлекаться на читаемое содержимое страницы, когда смотрит на ее макет. Смысл использования Lorem Ipsum в том, что он имеет более или менее нормальное распределение букв, в отличие от использования «Содержимое здесь, содержимое здесь», что делает его похожим на читаемый английский язык. Сейчас существует множество пакетов настольных издательских систем и редакторов веб-страниц.
moreProducts|Больше продуктов
oС42|ОС42
procurator|Прокуратор
sphere|Сфера
teleport|Телепорт
remoteConsole|RemoteConsole
stormStorage|Штормовое хранилище
procuratorGuestTools|Гостевые инструменты Прокуратора
projectDetail|Детали продукта
procuratorOС42Desc|Система управления гипервизором и оркестрации виртуальных машин, обеспечивающая удобное управление и контроль виртуальными средами.
procuratorGuestToolsDesc|Гостевые утилиты для оптимизации работы виртуальных машин и поддержки 3D-графики.
remoteConsoleDesc|Клиент для удаленного доступа к виртуальным машинам, позволяющий эффективно работать с виртуальными окружениями.
sphereDesc|Система управления и оркестрации датацентром, обеспечивающая эффективное управление инфраструктурой данных.
stormStorageDesc|Кластерная система хранения данных виртуальных машин, обеспечивающая надежное и высокопроизводительное хранение информации.
teleportDesc|Инновационная система управления и оркестрации инфраструктурой виртуальных рабочих мест, обеспечивая высокую производительность и безопасность.
contactInfo|Контактная информация
contact|Контакт
fieldCannotBeEmpty|Поле не может быть пустым
phoneCurrentErrorText|Введите действительный номер телефона
homepage|Домашняя страница
feedback|Обратная Связь
phoneNumber|Номер телефона
sendNow|Отправляйте сейчас
technologyStack|Технологический стек
serviceDetail|Детали 
howCanHelp|Чем мы можем помочь?
howCanHelpDesc|Если вам нужна помощь, пожалуйста свяжитесь с нами.
itConsultancy|ИТ-консалтинг
itConsultancyDesc|Мы помогаем превратить самые важные компании в мире в энергичные организации, которые предвидят непредсказуемость Agile, быстро адаптируются к изменениям и побеждают оппозицию. Мы работаем с клиентами, которые не прячутся от будущего, а хотят определить клиентов с высоким потенциалом и высокими амбициями.
itConsultancyDesc2|Мы помогаем превратить самые важные предприятия мира в энергичные оппозиционные организации. Мы работаем с клиентами, которые не прячутся от будущего, а хотят определить клиентов с высоким потенциалом и высокими амбициями. Мы идем глубже, чтобы раскрыть понимание и иметь смелость действовать. Мы объединяем нужных людей, чтобы бросить вызов устоявшемуся мышлению и способствовать трансформации. Мы работаем с нашими клиентами над созданием возможностей, которые позволят организациям достичь устойчивого преимущества.
cyberSecurity|Информационная безопасность
cyberSecurityDesc|Скорбь возникает из-за того, что вы постоянно совершаете какие-то действия, связанные с трудом, и великая скорбь возникает из-за того, что вы совершаете какие-то действия, связанные с трудом, которые приводят к неизбежным последствиям.Скорбь проявляется в том, что вы испытываете сладострастие, и, по сути, вы бежите от всех, за исключением тех, кто не испытывает любви.
analyzingITServices|Анализ ИТ-сервисов
analyzingITServicesDesc|Мы помогаем превратить крупнейшие предприятия мира в энергичные организации, которые предвидят непредсказуемое развитие, быстро адаптируются к сбоям в работе и преодолевают конкуренцию. Мы работаем с клиентами, которые не прячутся от будущего, но хотят найти клиентов с высоким потенциалом и амбициями.
analyzingITServicesDesc2|Мы помогаем превратить крупнейшие предприятия мира в энергичные организации, выступающие в оппозиции. Мы работаем с клиентами, которые не прячутся от будущего, но хотят определить клиентов с высоким потенциалом и амбициями.
whoWeAreItem1DetailDesc|Понятный и знакомый интерфейс, благодаря которому вам не придется тратить время и средства на переобучение. Благодаря нам, современные технологии могут стать простым и понятным языком для всех.
whoWeAreItem2DetailDesc|Безопасность - один из наших важнейших приоритетов. Современные технологии шифрования и строгие политики безопасности обеспечивают непроницаемый барьер для любых попыток несанкционированного доступа. Мы гарантируем высокую защиту от уязвимостей, в том числе от различных вирусов. 
whoWeAreItem3DetailDesc|Продукты компании АО "БФГ" являются полностью российскими изделиями. Наш стимул и стремление - поддержка и развитие отечественных технологий.
whoWeAreItem4DetailDesc|"Сфера" предоставляет инструменты для резервного копирования и восстановления данных виртуальных машин, что помогает обеспечить их безопасность и целостность в случае чрезвычайных ситуаций или сбоев.
whoWeAreItem5DetailDesc|Технологии VDI позволяют управлять виртуальной инфраструктурой с полной поддержкой 3D.
procuratorProductDesc|Платформа позволяет работать с хранилищами разных типов, таких как NFS, LVM, распределенное хранилище "Шторм" собственной разработки. Доступно подключение ISCSi-хранилища, подключение хранилища с помощью Fibre Channel. Так же доступно управление, создание виртуальных сетей.
procuratorProductDescSubTitle|Несколько ключевых особенностей платформы "Прокуратор":
procuratorProductDesc1|Легковесный и высокопроизводительный. 
procuratorProductDesc1.2|"Прокуратор" имеет небольшой размер и необходимый набор служб, что делает его легким для установки и обеспечивает высокую производительность для виртуальных машин.
security|Безопасность.
procuratorProductDesc2|"Прокуратор" предоставляет многоуровневую защиту для виртуальной инфраструктуры, включая механизмы виртуализации и управления доступом.
resourceManagement|Управление ресурсами.
procuratorProductDesc3|"Прокуратор" позволяет гибко управлять выделением ресурсов сервера для виртуальных машин, что обеспечивает эффективное использование вычислительных мощностей и ресурсов.
procuratorProductDesc4|ПК "Прокуратор" может быть использован в различных сценариях, от виртуализации серверов в центрах обработки данных до построения облачных инфраструктур.
sphereProductDesc1|Централизованное управление:
sphereProductDesc1.2|"Сфера" предоставляет единый интерфейс для управления всей виртуальной инфраструктурой, включая несколько серверов «Прокуратор» и множество виртуальных машин. Это упрощает и ускоряет работу администраторов.
sphereProductDesc2|Гибкость и масштабируемость: 
sphereProductDesc2.2|С помощью ПК "Сфера" можно легко масштабировать инфраструктуру, добавляя или удаляя ресурсы, виртуальные машины и серверы по мере необходимости.
sphereProductDesc3|Эффективное использование ресурсов: 
sphereProductDesc3.2|"Сфера" помогает оптимизировать использование вычислительных, ресурсов сети и хранилища, что позволяет снизить затраты и повысить производительность инфраструктуры.
sphereProductDesc4|Высокая доступность и отказоустойчивость: 
sphereProductDesc4.2|Функции высокой доступности в ПК "Сфера" позволяют автоматически переносить виртуальные машины на другие серверы в случае сбоя, минимизируя простои и обеспечивая непрерывную работу системы. Миграция с других платформ виртуализации происходит легко и непринужденно - виртуальные машины с VMware, Hyper-V и других систем виртуализации будут перенесены в целостности и сохранности.
sphereProductDesc5|Управление резервным копированием и восстановлением данных: 
sphereProductDesc5.2|"Сфера" предоставляет инструменты для резервного копирования и восстановления данных виртуальных машин, что помогает обеспечить их безопасность и целостность в случае чрезвычайных ситуаций или сбоев.
remoteConsoleProductDesc1|Remote Console позволяет управлять виртуальными машинами удаленно на компьютере пользователя. С помощью RC возможно управление виртуальными машинами, запуск ВМ доступны в отдельном окне.
remoteConsoleProductDesc2|Таким образом, можно запускать, останавливать, перезагружать и делать другие действия с виртуальными машинами, не находясь физически рядом с ними.
oc42ProductDesc1|ОС42 - это специализированная операционная система гипервизорного типа (гипервизор первого типа). ОС42 помогает создавать виртуальную среду на компьютерах и серверах, а также на виртуальных машинах. Гипервизор, который она включает, ставится на само устройство и помогает управлять всем этим. Она также управлять виртуальными окружениями, машинами и контейнерами, а также хранилищем данных и программно-управляемой сетью передачи данных. Может быть установлена на аппаратную платформу.
guestToolsProductDesc1|Гостевые инструменты позволяют улучшить управляемость виртуальной машины, предоставляя драйверы для корректного отображения разрешения экрана, распределение ресурсов гипервизора. Гостевые инструменты предназначены для управления устройств ввода. 
stormStorageToolsProductDesc1|Для более подробного ознакомления вы можете связаться с нами:
vacancy|Вакансии
vacancyDesc1|Мы специализируемся на создании и развитии инновационных технологических решений, и каждый человек в нашей команде играет важную роль в достижении этой цели. Мы ищем талантливых специалистов, готовых присоединиться к нам в этом увлекательном путешествии.
vacancyDesc2|Вы можете ознакомиться с актуальными вакансиями ниже.
vacancy1|DevOps
vacancy2|System Engineer
vacancy3|QA
vacancy4|GoLang Engineer
vacancy5|Recruiter
vacancy6|Designer UX/UI
vacancyDesc3|Вы можете направить ваше резюме на почту
vacancyDesc4|Будем рады ответить на все интересующие вас вопросы.
vacancyDesc5|Мы гарантируем полную конфиденциальность обращения с вашей персональной информацией.
attachResume|Прикрепить резюме
respondVacancyOrContactHR|Откликнуться на вакансию или связаться с HR
name|Имя
surname|Фамилия
cityResidence|Город проживания
currentPlaceWork|Текущее место работы
sent|Отправлено
send|Отправить
ourProducts|Наши продукты
